TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,170280.135864,44.316502,49.740849,49.804236,33.625839,22.766771,99.860800,99.820165,46.522508,44.585454,44.316480,49.740813,49.804208,0.008583,815577.11,26.10,3789869877695893,114351096600,2093090245492559,70418611540,8c334f1482ff26f8e878ca41d6973118,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,61185.470529,41.943606,47.396641,47.173023,28.244857,19.751653,99.781151,98.893957,41.898168,42.423331,41.943572,47.396523,47.172990,1.130190,381544.87,22.91,1704058874525087,115465579483,970854829407279,62991248296,eb3fdf200635aebbe2f03f75a56f91bf,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,30220.467532,40.022321,45.029761,44.865739,24.292506,17.875992,94.087415,91.669856,38.465857,40.595888,40.022294,45.029480,44.865676,1.295644,435872.87,21.37,1933639774933835,115134478162,1111367992943335,59286637242,84c580a509ab65efc1c8cd07f7c56734,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,14963.932068,37.419208,42.367923,42.348034,20.172645,15.559257,81.249999,78.294013,34.553582,38.353761,37.419157,42.367523,42.347675,1.316884,231299.75,18.38,1030713274041058,105212238235,588681595287379,51177307509,673d71964bd2512eddc1fe98bba85bef,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7021.330669,34.255206,39.359184,39.546187,15.995426,12.914255,61.958057,58.906333,30.500364,35.630833,34.255034,39.357584,39.544905,1.288802,112373.16,14.52,515518614593056,83986731825,286517346471829,40914328902,94a5b6d6fc27bd0b9d41ae131b9a1d1a,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3106.285714,30.918291,36.328039,36.575006,12.192970,10.333808,39.817123,37.198539,26.709323,32.712804,30.918093,36.325908,36.573426,1.207131,44939.93,10.07,260414131182250,72631679070,125509320026003,28093126418,ac97c1e8666fe76035cdc686c2ef16d4,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,67911.032967,43.673039,49.526748,52.896263,32.396195,21.381504,99.095242,97.728130,45.316577,44.406039,43.672706,49.526503,52.895949,0.019344,615307.22,16.51,2941505416879016,71268594647,1574584504703671,44816943545,5697523d92e3834f285cd656066b6eee,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,21324.307692,42.696168,48.466541,51.623925,27.809819,19.813369,94.437055,92.642720,42.777079,43.437935,42.693851,48.466211,51.623597,0.274081,171456.86,15.79,776389524411225,87073083793,432782337165801,44051131951,903fe79e73c3912eb1cae33fbc40a519,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,10507.940060,41.745249,47.180579,49.794001,23.893974,18.512772,86.093346,83.880768,40.554722,42.378517,41.739380,47.180099,49.793533,0.344648,179313.98,18.60,811498974011525,81641514981,453330355857926,52376337206,0e16c206d21d7c9bd6d4d4c3204d2459,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,5400.167832,40.206831,45.081607,47.113786,19.786236,16.697122,71.157075,68.710973,37.745248,40.685244,40.197867,45.080754,47.112394,0.361041,80010.42,13.29,370222506820807,76347037188,203565125911608,37520876797,fbb52f0c5ebc64c19c455910e9b06551,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,2773.226773,37.958409,42.245814,43.804052,15.768661,14.507918,50.535253,48.235829,34.605618,38.219510,37.948486,42.243556,43.799508,0.312786,35790.50,11.56,163026911216138,69087522840,92717971008647,32818110316,04f0f1334533dad87774b167eb316026,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,1391.008991,35.065813,38.819665,40.424983,12.099554,12.163769,28.202229,26.393018,31.289828,35.078524,35.058147,38.814210,40.416942,0.574401,21868.89,10.23,99563724577115,64765725604,59253917528388,29095032101,5cac56cc5658d5fa511b1719ecae275b,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,153665.342657,45.285529,50.818192,51.085018,35.370043,24.268003,99.819001,99.768397,47.494536,46.023666,45.285446,50.817952,51.084724,0.005960,838452.92,24.54,3801445797800931,107344797530,2148036134361250,66667354781,57d4f67e829231de0db05aef46694d6f,
