TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8482.285714,42.102768,44.758527,44.674190,26.852933,23.292333,96.773082,94.947582,45.550871,40.616073,41.906238,44.716556,44.630611,0.000012,345862.28,12.32,1986783490215341,69318535567,967294100212865,36408686291,529dce6e55047da4f262022fb7bf43b8,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3172.839468,39.378572,43.221502,43.557019,23.184670,20.107763,92.257535,90.174469,40.892457,38.681775,39.089581,43.187803,43.527269,0.000047,279290.06,10.25,1474666511111037,57213566008,723423889592339,28485561018,562ba09df5ee97d992046ac68a91a6c8,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1066.637977,36.507915,41.571507,42.279984,19.066013,16.616615,83.503783,81.240305,36.058454,36.565981,36.220058,41.540094,42.250482,0.002630,271587.03,7.84,1463370325099944,51048404327,704463861927649,22212094378,9902bbd970bb801c8ce62c323b532be0,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,375.899793,33.463456,39.804236,40.758921,14.544694,12.960104,67.012808,64.980349,31.384248,34.199715,33.238489,39.777986,40.735825,0.013507,178282.76,6.31,999046966272023,42027806962,463190817723609,18105494140,a552cc786c02a88c27df00928ca7df74,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,136.600630,30.631090,38.147619,39.303734,10.404416,9.731321,44.081649,42.492240,27.420967,31.930243,30.495383,38.131018,39.287416,0.047414,66760.90,4.11,502333845557948,32964745381,186448479542885,11519245060,8aa75d9751b1feb1ef028c65fee279c5,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,54.292784,27.974214,36.732635,37.729128,6.983438,7.042309,20.808734,20.116775,24.140662,29.776985,27.906724,36.722763,37.720980,0.106034,27392.33,4.06,201536063520032,34301811784,76501118941294,11332435539,adc1f61805acf7b0b033832a7e846707,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,23366.483363,41.566022,44.968929,46.688677,30.943155,27.164381,99.976353,99.690681,47.772600,42.190085,41.448076,44.927621,46.652270,0.127458,371723.48,19.15,2022542217156331,92330971052,1039420731160522,56057926133,97f8586e2af37cfa71ccfa361fe52a88,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,10852.680858,37.677176,43.135350,44.533252,26.283631,23.080845,97.173732,95.331584,41.252161,39.480821,37.561030,43.111545,44.506635,0.162255,387969.81,12.62,2594557762066204,78257895503,1083436305843887,35258760484,cd1f4839152344cbdc84084887a1446d,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4813.839699,33.547992,41.174981,42.252825,21.230644,18.562551,87.540336,85.410800,34.491418,36.354893,33.430452,41.154238,42.229020,0.191022,528696.82,9.85,3280658363841959,65568586036,1791951886090860,35773242310,254c6fc0adc07b64b7cc355cae6ca022,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,1972.728810,29.633948,39.099736,39.931433,16.137876,14.115344,69.800790,67.819282,28.493989,33.134175,29.525411,39.076820,39.909796,0.177386,370526.13,8.33,2424462601236311,60218742886,1256421550272593,30718287500,baf99b2afd6b8e34714cb72635a12534,
