TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5571128,48.615345,49.531447,50.903462,50.315953,34.462837,96.986734,96.324384,54.251015,47.788480,48.615345,49.531447,50.903462,0.000001,23638.81,3.21,110375732410140,11729698041,61265756503409,8375672383,452fa2e214fa67e63c48a17b7b728e59,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3684049,42.700327,45.906810,48.360632,44.568223,28.426667,96.210334,95.217611,49.612005,43.333773,42.700327,45.906810,48.360632,0.000015,28125.66,2.80,131951904638295,10924424480,72660835904378,7461313651,ff4f668fa3e1cb63537054f93be3ff2a,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1975178,36.669682,42.764475,45.916722,38.439661,22.090148,94.195298,92.710937,43.050313,38.726252,36.669682,42.764475,45.916722,0.000260,45216.32,2.21,211878360528724,9221573856,116512432116737,5925622913,d23f1e64972cd4039f0baf780f6c5245,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,860828,32.066877,40.120737,43.589062,32.175271,17.496047,88.253184,86.237133,36.227798,34.910643,32.066877,40.120737,43.589062,0.002179,77192.89,1.31,430416885081818,7732270144,215587053709193,3687826281,7f1613f267240cf2dc01122f689c27c6,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,393412,28.656974,37.511311,41.322317,26.007371,14.094723,73.238990,71.077279,30.004239,31.882777,28.656974,37.511311,41.322317,0.008916,67757.76,1.37,302030028026676,6613374329,174232194482334,3761530154,f7e92ce9df7ae94f7489849f63ce0b6e,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,173465,25.309861,35.061543,39.305258,20.030866,10.524947,49.530302,47.545501,24.256838,28.826413,25.309861,35.061543,39.305258,0.015012,41415.25,1.14,186246279373730,5855593549,106079950936051,3185271910,dea6edf7874e9db67dbac5dc4163c97b,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,3819464,48.759967,50.604481,50.963586,46.518483,31.421303,96.592292,95.826773,52.649461,48.089881,48.759967,50.604481,50.963586,0.000009,37228.33,2.40,174004611736714,9303988386,96194967558550,6249647937,e305bf5759eee6e93a42ac9ebd35425b,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2133044,42.917853,48.373332,48.730411,40.761172,25.412492,95.220906,94.166700,47.818211,44.180284,42.917853,48.373332,48.730411,0.001843,36239.32,1.54,212224409585916,8013836777,101204203295954,4302278744,fde48757a3a6d99b63c53549fcf5bec7,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,881725,37.754083,46.183118,46.720841,34.452677,19.683964,92.346651,90.615042,41.416793,40.462902,37.754083,46.183118,46.720841,0.223852,51506.98,1.41,239360473895507,6007977426,132310749906883,3829158602,7e263b2977ce12b424b2b6c409c95e84,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,320207,34.240594,44.201297,44.801090,28.385599,15.235036,84.169185,82.064192,35.033410,37.637654,34.240594,44.201297,44.801090,1.101744,73497.60,1.20,328346231511470,5731869849,189165975029754,3313503609,a156749abc88c864472ac34f63b474be,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,160,135071,31.750349,42.522137,42.839508,23.068732,12.182919,67.296391,65.031395,30.081903,35.371444,31.750349,42.522137,42.839508,1.789276,35260.33,0.95,155603213208138,4672402929,90247371827589,2692663970,5926687fd78456a36bba587464ea9c2b,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,185,59601,29.173627,40.698699,40.657175,17.983225,9.607887,42.967041,41.403207,26.012678,32.939121,29.173627,40.698699,40.657175,1.707896,11860.24,0.73,67582006159467,4659883820,33120705610455,2043733285,5930348019e6e7d56cbfddb4a16b3be1,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,60,1025446,51.290700,55.515225,56.114920,43.928501,29.356019,96.395615,95.356871,50.785742,54.120606,51.290700,55.515225,56.114920,0.015214,44701.84,1.21,214039628019015,5458986571,124027704117278,3470053473,e863b08e97aa058c44f8f9ddc5928ab8,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,85,521403,47.581525,53.199668,53.918623,38.327268,24.767833,95.188652,93.776353,46.405157,50.048847,47.581525,53.199668,53.918623,0.041646,39945.38,1.14,177373793802184,5055074913,102086613361776,3122383036,0467149af5a1ed231e0f238e0bcde28b,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,110,249122,43.809574,50.897576,51.865410,32.274209,20.341868,91.724850,89.927163,41.433860,46.533568,43.809574,50.897576,51.865410,0.186007,19328.39,0.71,108140843316667,4056149873,53977363356048,1974318069,25d35a0a22b6fe1fe0729a4c991b9c20,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,135,104547,40.115279,48.404697,49.656263,26.081184,16.232591,82.565154,80.478321,36.636342,43.156401,40.115279,48.404697,49.656263,0.584887,23907.30,0.92,106295611335222,4775926609,60982754058262,2602887968,88560f8306a1284f280ba2933fb476e2,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,160,41731,37.028700,45.568506,46.906363,20.382156,13.274218,65.192942,63.233117,33.026813,40.173687,37.028700,45.568506,46.906363,0.798237,9380.43,0.78,46330463321592,4470716310,25877815766191,2389476250,a58118235126ac0d4c9013226b4fa30f,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,185,18296,34.413505,42.123437,43.440307,15.671296,11.174096,47.405960,45.626826,30.186218,37.413708,34.413505,42.123437,43.440307,1.202659,4630.36,0.69,21408613004613,3730807401,11826324389811,1985999099,7507cdea75b04f7f8820f2686db03718,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,60,2743441,48.823967,52.791424,53.560194,41.502692,29.418172,97.228033,96.612296,50.142520,50.062150,48.823967,52.791424,53.560194,1.059962,37354.51,2.05,176246992071098,7653052069,96186434928572,5373206241,d44892d52e6040f98ec8c08c358e42dd,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,85,1428560,43.698153,50.604182,51.317768,35.301147,24.477562,96.852854,95.883566,46.433641,46.058580,43.698153,50.604182,51.317768,7.564068,18195.08,1.25,109674276458549,5900570056,50814832004460,3485890639,182310b70bee99e61992a076c85e3ec9,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,110,741975,39.816858,48.354254,49.187404,31.734902,22.148702,95.406134,93.964814,43.560566,43.190450,39.816858,48.354254,49.187404,11.351869,16418.72,1.27,77114978976384,5679886949,42207831469591,3498595167,5da2381cb2bb660bb76c01c85c3faede,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,135,375128,36.122150,46.257342,47.200882,29.171169,20.483418,91.428338,89.292486,40.138935,40.664640,36.122150,46.257342,47.200882,10.785864,34894.07,1.10,159971041852899,5078914420,89803456793960,3106093104,b6046909dc58915d7d16161f05b00454,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,160,174746,32.272725,43.740241,44.776530,25.761843,18.179143,82.049585,79.108825,35.156501,37.827734,32.272725,43.740241,44.776530,10.662344,21269.90,0.70,122966885658385,4417175346,59403685551507,1937412181,467590965fffe3e49747ea6f410227b6,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,185,75673,28.535485,41.151976,42.275668,21.346242,14.922870,65.714571,62.468304,29.360243,34.868306,28.535485,41.151976,42.275668,7.779119,15209.11,0.65,88436903737998,4161395713,42473353517816,1842188708,cb34ea6c7f71a0bf63d64c2f961035b9,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,60,6035629,48.417633,50.786583,50.659583,49.459663,37.789258,97.063772,96.357261,55.119284,47.078631,48.417633,50.786583,50.659583,0.001967,10614.09,2.58,60552245987736,12326696317,29642501441382,7213501909,683ff0618ccd9711b033507836a309f9,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,85,4198770,42.608726,47.951612,47.745997,43.667846,31.762621,96.377530,95.274746,50.799088,42.939864,42.608726,47.951612,47.745997,0.003227,12328.98,2.32,69594815078622,11424940965,34432231211840,6497008830,5f09edb2c9c779b51130f9f806236c95,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,110,2599123,36.806462,45.460367,45.079271,37.633715,25.851671,94.402013,92.770174,44.965711,38.725540,36.806462,45.460367,45.079271,0.005526,30347.62,2.50,140795370799053,10458610058,78349698757567,6690860928,3b35679b3003992ababc5e80febb24a5,
