TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,18689.107815,42.399525,48.727645,48.733952,29.356277,20.342531,99.974859,99.917526,43.034904,43.268174,42.348527,48.702662,48.708466,1.029381,,,,,,,0b5b3127d58afc106ab313cafde935c4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,6630.724353,41.572973,47.549420,47.486708,27.528119,19.570026,99.652807,97.795763,41.502786,42.404801,41.558147,47.537141,47.472865,1.190902,,,,,,,dff730af6655eb672db6643c0ccea1e7,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,2746.342888,40.301727,45.986773,45.815398,25.085301,18.454254,95.181510,92.779192,39.170494,41.219533,40.287409,45.974215,45.802800,1.227649,,,,,,,bfdab36d9b1649eac46b2b4e8e90cd66,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1322.779374,38.283173,43.985342,43.776408,21.800447,16.696785,86.122751,83.333915,35.936588,39.564354,38.262688,43.973023,43.764536,1.292831,,,,,,,9093280297fd8e39bc1c817dfd99cf7f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,637.190502,35.577855,41.573973,41.398851,18.127594,14.431714,71.348329,68.280055,32.274846,37.403790,35.552359,41.560028,41.384434,1.320656,,,,,,,77df57395db6280e0ecde2ec0b12cfe0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,295.137478,32.421900,38.793967,38.700934,14.340902,11.916789,51.758461,48.741717,28.523274,34.730954,32.394713,38.782830,38.689520,1.306098,,,,,,,511eabc6f2a8c26d245175186ed7e834,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,9343.087682,41.591739,47.092681,47.214570,28.353596,19.874515,99.934332,98.331735,42.126009,42.444670,41.577172,47.082533,47.201523,1.205059,,,,,,,964381b932b4fd6cd0a9d378a65f5978,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,3849.365404,40.711258,46.065902,46.057127,26.359263,19.005114,97.253888,94.880130,40.292938,41.595570,40.700730,46.056372,46.045084,1.227082,,,,,,,e2407d80da7aa638aa13e0257f4aa957,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,1798.943211,39.135181,44.587689,44.433440,23.421084,17.555425,90.441708,87.725127,37.439999,40.286326,39.118596,44.576253,44.421040,1.298808,,,,,,,dd82ec9de58822f95f34d368691d6b54,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,865.932836,36.804020,42.630568,42.396612,19.890331,15.523365,78.389196,75.384856,33.947509,38.454548,36.781577,42.618236,42.383271,1.358531,,,,,,,6022ae5810e58e68d3d6337ff904cb78,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,408.035042,33.902061,40.292598,40.214132,16.142704,13.110547,61.156666,57.968738,30.262835,36.236427,33.875480,40.280329,40.201067,1.355847,,,,,,,ba44fdb37a5dc7318fd7c1f86503acef,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,184.501037,30.745400,37.792343,37.635823,12.581272,10.675510,40.957548,38.076091,26.704042,33.609151,30.717971,37.786117,37.631587,1.247451,,,,,,,0f683e3eee6afb57c694a2b61ae44787,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6254.846692,40.678608,45.931911,45.809610,27.576167,19.395803,98.032815,95.673779,41.137403,41.748591,40.670430,45.925633,45.799811,1.257699,,,,,,,0f4b1f816fe63f1f80bc89ecc73b9e86,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,2814.560209,39.733235,44.993716,44.765074,25.325056,18.398403,93.842345,91.239638,39.060314,40.870656,39.722690,44.986506,44.753697,1.327219,,,,,,,c6f904763bd80b79d8357fea9358a545,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1333.203412,38.027441,43.548888,43.244230,22.094078,16.747511,85.185414,82.315747,35.971098,39.471849,38.009677,43.539605,43.232794,1.427700,,,,,,,e742eb35440319a18351322c0879a974,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,185,632.432183,35.581282,41.648382,41.353517,18.429059,14.566155,70.882951,67.831275,32.422676,37.571838,35.557264,41.636885,41.344598,1.498804,,,,,,,c4effbe0566287a9f4067b31cef6e583,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,210,292.086990,32.656428,39.390641,39.316404,14.768196,12.163648,52.647294,49.529535,28.843807,35.289435,32.630643,39.381581,39.303911,1.497197,,,,,,,9ed2c0153bced9836c3c46e44621c459,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,235,129.230769,29.526460,37.054579,36.988852,11.353230,9.814796,32.347957,29.756000,25.430995,32.797941,29.502613,37.047576,36.982377,1.454411,,,,,,,525a285922bd80ff9ef6790743b01073,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,110,3682.248828,38.414548,44.484944,43.861064,26.059785,18.110431,90.713678,88.145470,37.632676,40.453615,38.410065,44.480380,43.852454,1.357819,,,,,,,c74944c8d7ba512462c71609b5dadffa,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,135,1813.240298,37.551893,43.604134,42.965222,23.475797,17.014954,84.782203,82.045236,35.883526,39.554063,37.543426,43.598546,42.955411,1.440252,,,,,,,4c2141f9183c94a32c20ef534eda44d1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,160,863.745485,35.952048,42.198327,41.671342,20.028376,15.269349,73.278008,70.478821,33.218156,38.143915,35.936105,42.189614,41.661771,1.548017,,,,,,,f42164cb042ee989914f14c9c4b75cdc,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,185,403.118113,33.615395,40.349763,39.913747,16.374780,13.088155,56.976657,54.167004,30.045312,36.229705,33.592352,40.340009,39.903517,1.553405,,,,,,,ca0b3a653bdc4cf9f8bee850972312e8,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,210,181.778837,30.848623,38.275793,37.925624,12.860629,10.814809,38.612002,36.123173,26.843906,33.949056,30.825038,38.268251,37.917096,1.593987,,,,,,,5b08ff8ac46529cea847009335020c9c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,235,79.061861,27.872108,36.220924,36.108542,9.749458,8.679056,19.389263,17.600759,23.754302,31.551647,27.850482,36.213209,36.103783,1.413177,,,,,,,e2d5de952d9468fa460bdfeaaefb092e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,110,2625.713978,36.284291,43.403532,42.530152,24.901484,16.492220,79.714876,76.932215,33.839094,39.232194,36.280605,43.399260,42.522266,1.441195,,,,,,,d7f4d6041da2647cab2a4d9991ee936e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,135,1308.736802,35.576541,42.539924,41.717785,22.018907,15.510693,72.558090,69.754967,32.705321,38.382179,35.569696,42.534175,41.709067,1.518928,,,,,,,646aee8b4b1dc6e75ddf589b48389aa6,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,160,622.015523,34.216067,41.174989,40.514548,18.489001,13.948063,60.285730,57.525807,30.788822,37.025335,34.202419,41.165955,40.504298,1.610719,,,,,,,a33777a65e841d1da5f3c3f9922cdcef,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,185,288.479520,32.130081,39.382053,38.920621,14.925432,11.973117,43.740069,41.319942,28.236038,35.140493,32.108845,39.371988,38.909284,1.663507,,,,,,,0f0b8ce95afaa06757ba18024e6dcd55,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,210,128.090986,29.511784,37.254353,37.095155,11.576996,9.861398,26.915963,24.915911,25.387647,32.920622,29.488373,37.247565,37.090419,1.719544,,,,,,,dfbe2ee058992d73a754cdf0b56e8156,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,235,55.738723,26.735812,35.785635,35.452867,8.690958,7.945151,10.890141,9.633345,22.644868,30.628110,26.710285,35.777720,35.445866,1.540077,,,,,,,d91565cc5d76113e772c6864ecf16b1e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,640x360,110,1574.568201,33.253146,41.938986,41.023677,21.564532,13.858288,53.539222,51.342216,29.264407,37.312234,33.250396,41.934578,41.017313,1.480163,,,,,,,b3fd70c932059ee8f494b4250bf6bead,
