TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18689.107815,42.399525,48.727645,48.733952,29.356277,20.342531,99.974859,99.917526,43.034904,43.268174,42.348527,48.702662,48.708466,1.029381,,,,,,,0b5b3127d58afc106ab313cafde935c4,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6630.724353,41.572973,47.549420,47.486708,27.528119,19.570026,99.652807,97.795763,41.502786,42.404801,41.558147,47.537141,47.472865,1.190902,,,,,,,dff730af6655eb672db6643c0ccea1e7,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2746.342888,40.301727,45.986773,45.815398,25.085301,18.454254,95.181510,92.779192,39.170494,41.219533,40.287409,45.974215,45.802800,1.227649,,,,,,,bfdab36d9b1649eac46b2b4e8e90cd66,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1322.779374,38.283173,43.985342,43.776408,21.800447,16.696785,86.122751,83.333915,35.936588,39.564354,38.262688,43.973023,43.764536,1.292831,,,,,,,9093280297fd8e39bc1c817dfd99cf7f,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,637.190502,35.577855,41.573973,41.398851,18.127594,14.431714,71.348329,68.280055,32.274846,37.403790,35.552359,41.560028,41.384434,1.320656,,,,,,,77df57395db6280e0ecde2ec0b12cfe0,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,295.137478,32.421900,38.793967,38.700934,14.340902,11.916789,51.758461,48.741717,28.523274,34.730954,32.394713,38.782830,38.689520,1.306098,,,,,,,511eabc6f2a8c26d245175186ed7e834,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,17100.010144,42.793337,48.821288,52.281988,28.558875,20.076502,95.578969,93.774506,43.168390,43.708571,42.753307,48.806904,52.272153,0.333326,,,,,,,4cee473b294eab152c9b519c7ff76d20,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,5344.045493,42.135540,48.161448,51.351107,26.012799,19.209725,91.206567,89.083410,41.620706,43.058492,42.126379,48.156568,51.343029,0.366092,,,,,,,eb850c16a7d567aec2583463537a37bc,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2272.679935,41.088743,47.174543,49.943066,22.742252,17.958378,82.953417,80.579628,39.472557,42.083539,41.067978,47.167919,49.929490,0.375650,,,,,,,e0a79d792755d50cb867b7926dd45ef4,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1061.901791,39.476242,45.746290,47.988992,19.197840,16.283012,70.065618,67.561637,36.872032,40.634706,39.436991,45.735355,47.969647,0.403072,,,,,,,c89a2487480ba7283fef1f2dfa339358,
